	AlignL1	 AlignR1	 NonFinality	 ExtLapseL	 Clash	 AlignR2	 AlignL2	 AlignEdges	 ExtLapse	 Lapse	 ExtLapseR	 LapseL	 LapseR
Ao	1		1		0		0		1		0		0		0		0		0		0		0		0	
oA	1		1		1		0		0		0		0		0		0		0		0		0		0	
Aoa	1		3		0		0		1		1		0		2		0		0		0		0		0	
Aao	2		2		0		0		0		1		0		2		0		0		0		0		0	
oAa	1		3		0		0		0		1		1		2		0		0		0		0		0	
aAo	3		1		0		0		1		1		1		2		0		0		0		0		0	
oaA	2		2		1		0		0		0		1		2		0		0		0		0		0	
aoA	3		1		1		0		0		0		1		2		0		0		0		0		0	
Aoaa	1		5		0		0		1		1		0		2		0		1		0		0		1	
Aaoa	2		4		0		0		0		1		0		2		0		0		0		0		0	
Aaao	3		3		0		0		0		1		0		2		0		1		0		0		0	
oAaa	1		5		0		0		0		1		1		2		0		1		0		0		1	
aAoa	3		3		0		0		1		1		1		2		0		0		0		0		0	
aAao	4		2		0		0		0		1		1		2		0		0		0		0		0	
oaAa	2		4		0		0		0		1		1		2		0		0		0		0		0	
aoAa	3		3		0		0		0		1		1		2		0		0		0		0		0	
aaAo	5		1		0		0		1		1		1		2		0		1		0		1		0	
oaaA	3		3		1		0		0		0		1		2		0		1		0		0		0	
aoaA	4		2		1		0		0		0		1		2		0		0		0		0		0	
aaoA	5		1		1		0		0		0		1		2		0		1		0		1		0	
Aoaaa	1		7		0		0		1		1		0		2		1		2		1		0		1	
Aaoaa	2		6		0		0		0		1		0		2		0		1		0		0		1	
Aaaoa	3		5		0		0		0		1		0		2		0		1		0		0		0	
Aaaao	4		4		0		0		0		1		0		2		1		2		0		0		0	
oAaaa	1		7		0		0		0		1		1		2		1		2		1		0		1	
aAoaa	3		5		0		0		1		1		1		2		0		1		0		0		1	
aAaoa	4		4		0		0		0		1		1		2		0		0		0		0		0	
aAaao	5		3		0		0		0		1		1		2		0		1		0		0		0	
oaAaa	2		6		0		0		0		1		1		2		0		1		0		0		1	
aoAaa	3		5		0		0		0		1		1		2		0		1		0		0		1	
aaAoa	5		3		0		0		1		1		1		2		0		1		0		1		0	
aaAao	6		2		0		0		0		1		1		2		0		1		0		1		0	
oaaAa	3		5		0		0		0		1		1		2		0		1		0		0		0	
aoaAa	4		4		0		0		0		1		1		2		0		0		0		0		0	
aaoAa	5		3		0		0		0		1		1		2		0		1		0		1		0	
aaaAo	7		1		0		1		1		1		1		2		1		2		0		1		0	
oaaaA	4		4		1		0		0		0		1		2		1		2		0		0		0	
aoaaA	5		3		1		0		0		0		1		2		0		1		0		0		0	
aaoaA	6		2		1		0		0		0		1		2		0		1		0		1		0	
aaaoA	7		1		1		1		0		0		1		2		1		2		0		1		0	
Aoaaaa	1		9		0		0		1		1		0		2		2		3		1		0		1	
Aaoaaa	2		8		0		0		0		1		0		2		1		2		1		0		1	
Aaaoaa	3		7		0		0		0		1		0		2		0		2		0		0		1	
Aaaaoa	4		6		0		0		0		1		0		2		1		2		0		0		0	
Aaaaao	5		5		0		0		0		1		0		2		2		3		0		0		0	
oAaaaa	1		9		0		0		0		1		1		2		2		3		1		0		1	
aAoaaa	3		7		0		0		1		1		1		2		1		2		1		0		1	
aAaoaa	4		6		0		0		0		1		1		2		0		1		0		0		1	
aAaaoa	5		5		0		0		0		1		1		2		0		1		0		0		0	
aAaaao	6		4		0		0		0		1		1		2		1		2		0		0		0	
oaAaaa	2		8		0		0		0		1		1		2		1		2		1		0		1	
aoAaaa	3		7		0		0		0		1		1		2		1		2		1		0		1	
aaAoaa	5		5		0		0		1		1		1		2		0		2		0		1		1	
aaAaoa	6		4		0		0		0		1		1		2		0		1		0		1		0	
aaAaao	7		3		0		0		0		1		1		2		0		2		0		1		0	
oaaAaa	3		7		0		0		0		1		1		2		0		2		0		0		1	
aoaAaa	4		6		0		0		0		1		1		2		0		1		0		0		1	
aaoAaa	5		5		0		0		0		1		1		2		0		2		0		1		1	
aaaAoa	7		3		0		1		1		1		1		2		1		2		0		1		0	
aaaAao	8		2		0		1		0		1		1		2		1		2		0		1		0	
oaaaAa	4		6		0		0		0		1		1		2		1		2		0		0		0	
aoaaAa	5		5		0		0		0		1		1		2		0		1		0		0		0	
aaoaAa	6		4		0		0		0		1		1		2		0		1		0		1		0	
aaaoAa	7		3		0		1		0		1		1		2		1		2		0		1		0	
aaaaAo	9		1		0		1		1		1		1		2		2		3		0		1		0	
oaaaaA	5		5		1		0		0		0		1		2		2		3		0		0		0	
aoaaaA	6		4		1		0		0		0		1		2		1		2		0		0		0	
aaoaaA	7		3		1		0		0		0		1		2		0		2		0		1		0	
aaaoaA	8		2		1		1		0		0		1		2		1		2		0		1		0	
aaaaoA	9		1		1		1		0		0		1		2		2		3		0		1		0	
Aoaaaaa	1		11		0		0		1		1		0		2		3		4		1		0		1	
Aaoaaaa	2		10		0		0		0		1		0		2		2		3		1		0		1	
Aaaoaaa	3		9		0		0		0		1		0		2		1		3		1		0		1	
Aaaaoaa	4		8		0		0		0		1		0		2		1		3		0		0		1	
Aaaaaoa	5		7		0		0		0		1		0		2		2		3		0		0		0	
Aaaaaao	6		6		0		0		0		1		0		2		3		4		0		0		0	
oAaaaaa	1		11		0		0		0		1		1		2		3		4		1		0		1	
aAoaaaa	3		9		0		0		1		1		1		2		2		3		1		0		1	
aAaoaaa	4		8		0		0		0		1		1		2		1		2		1		0		1	
aAaaoaa	5		7		0		0		0		1		1		2		0		2		0		0		1	
aAaaaoa	6		6		0		0		0		1		1		2		1		2		0		0		0	
aAaaaao	7		5		0		0		0		1		1		2		2		3		0		0		0	
oaAaaaa	2		10		0		0		0		1		1		2		2		3		1		0		1	
aoAaaaa	3		9		0		0		0		1		1		2		2		3		1		0		1	
aaAoaaa	5		7		0		0		1		1		1		2		1		3		1		1		1	
aaAaoaa	6		6		0		0		0		1		1		2		0		2		0		1		1	
aaAaaoa	7		5		0		0		0		1		1		2		0		2		0		1		0	
aaAaaao	8		4		0		0		0		1		1		2		1		3		0		1		0	
oaaAaaa	3		9		0		0		0		1		1		2		1		3		1		0		1	
aoaAaaa	4		8		0		0		0		1		1		2		1		2		1		0		1	
aaoAaaa	5		7		0		0		0		1		1		2		1		3		1		1		1	
aaaAoaa	7		5		0		1		1		1		1		2		1		3		0		1		1	
aaaAaoa	8		4		0		1		0		1		1		2		1		2		0		1		0	
aaaAaao	9		3		0		1		0		1		1		2		1		3		0		1		0	
oaaaAaa	4		8		0		0		0		1		1		2		1		3		0		0		1	
aoaaAaa	5		7		0		0		0		1		1		2		0		2		0		0		1	
aaoaAaa	6		6		0		0		0		1		1		2		0		2		0		1		1	
aaaoAaa	7		5		0		1		0		1		1		2		1		3		0		1		1	
aaaaAoa	9		3		0		1		1		1		1		2		2		3		0		1		0	
aaaaAao	10		2		0		1		0		1		1		2		2		3		0		1		0	
oaaaaAa	5		7		0		0		0		1		1		2		2		3		0		0		0	
aoaaaAa	6		6		0		0		0		1		1		2		1		2		0		0		0	
aaoaaAa	7		5		0		0		0		1		1		2		0		2		0		1		0	
aaaoaAa	8		4		0		1		0		1		1		2		1		2		0		1		0	
aaaaoAa	9		3		0		1		0		1		1		2		2		3		0		1		0	
aaaaaAo	11		1		0		1		1		1		1		2		3		4		0		1		0	
oaaaaaA	6		6		1		0		0		0		1		2		3		4		0		0		0	
aoaaaaA	7		5		1		0		0		0		1		2		2		3		0		0		0	
aaoaaaA	8		4		1		0		0		0		1		2		1		3		0		1		0	
aaaoaaA	9		3		1		1		0		0		1		2		1		3		0		1		0	
aaaaoaA	10		2		1		1		0		0		1		2		2		3		0		1		0	
aaaaaoA	11		1		1		1		0		0		1		2		3		4		0		1		0	
Aoaaaaaa	1		13		0		0		1		1		0		2		4		5		1		0		1	
Aaoaaaaa	2		12		0		0		0		1		0		2		3		4		1		0		1	
Aaaoaaaa	3		11		0		0		0		1		0		2		2		4		1		0		1	
Aaaaoaaa	4		10		0		0		0		1		0		2		2		4		1		0		1	
Aaaaaoaa	5		9		0		0		0		1		0		2		2		4		0		0		1	
Aaaaaaoa	6		8		0		0		0		1		0		2		3		4		0		0		0	
Aaaaaaao	7		7		0		0		0		1		0		2		4		5		0		0		0	
oAaaaaaa	1		13		0		0		0		1		1		2		4		5		1		0		1	
aAoaaaaa	3		11		0		0		1		1		1		2		3		4		1		0		1	
aAaoaaaa	4		10		0		0		0		1		1		2		2		3		1		0		1	
aAaaoaaa	5		9		0		0		0		1		1		2		1		3		1		0		1	
aAaaaoaa	6		8		0		0		0		1		1		2		1		3		0		0		1	
aAaaaaoa	7		7		0		0		0		1		1		2		2		3		0		0		0	
aAaaaaao	8		6		0		0		0		1		1		2		3		4		0		0		0	
oaAaaaaa	2		12		0		0		0		1		1		2		3		4		1		0		1	
aoAaaaaa	3		11		0		0		0		1		1		2		3		4		1		0		1	
aaAoaaaa	5		9		0		0		1		1		1		2		2		4		1		1		1	
aaAaoaaa	6		8		0		0		0		1		1		2		1		3		1		1		1	
aaAaaoaa	7		7		0		0		0		1		1		2		0		3		0		1		1	
aaAaaaoa	8		6		0		0		0		1		1		2		1		3		0		1		0	
aaAaaaao	9		5		0		0		0		1		1		2		2		4		0		1		0	
oaaAaaaa	3		11		0		0		0		1		1		2		2		4		1		0		1	
aoaAaaaa	4		10		0		0		0		1		1		2		2		3		1		0		1	
aaoAaaaa	5		9		0		0		0		1		1		2		2		4		1		1		1	
aaaAoaaa	7		7		0		1		1		1		1		2		2		4		1		1		1	
aaaAaoaa	8		6		0		1		0		1		1		2		1		3		0		1		1	
aaaAaaoa	9		5		0		1		0		1		1		2		1		3		0		1		0	
aaaAaaao	10		4		0		1		0		1		1		2		2		4		0		1		0	
oaaaAaaa	4		10		0		0		0		1		1		2		2		4		1		0		1	
aoaaAaaa	5		9		0		0		0		1		1		2		1		3		1		0		1	
aaoaAaaa	6		8		0		0		0		1		1		2		1		3		1		1		1	
aaaoAaaa	7		7		0		1		0		1		1		2		2		4		1		1		1	
aaaaAoaa	9		5		0		1		1		1		1		2		2		4		0		1		1	
aaaaAaoa	10		4		0		1		0		1		1		2		2		3		0		1		0	
aaaaAaao	11		3		0		1		0		1		1		2		2		4		0		1		0	
oaaaaAaa	5		9		0		0		0		1		1		2		2		4		0		0		1	
aoaaaAaa	6		8		0		0		0		1		1		2		1		3		0		0		1	
aaoaaAaa	7		7		0		0		0		1		1		2		0		3		0		1		1	
aaaoaAaa	8		6		0		1		0		1		1		2		1		3		0		1		1	
aaaaoAaa	9		5		0		1		0		1		1		2		2		4		0		1		1	
aaaaaAoa	11		3		0		1		1		1		1		2		3		4		0		1		0	
aaaaaAao	12		2		0		1		0		1		1		2		3		4		0		1		0	
oaaaaaAa	6		8		0		0		0		1		1		2		3		4		0		0		0	
aoaaaaAa	7		7		0		0		0		1		1		2		2		3		0		0		0	
aaoaaaAa	8		6		0		0		0		1		1		2		1		3		0		1		0	
aaaoaaAa	9		5		0		1		0		1		1		2		1		3		0		1		0	
aaaaoaAa	10		4		0		1		0		1		1		2		2		3		0		1		0	
aaaaaoAa	11		3		0		1		0		1		1		2		3		4		0		1		0	
aaaaaaAo	13		1		0		1		1		1		1		2		4		5		0		1		0	
oaaaaaaA	7		7		1		0		0		0		1		2		4		5		0		0		0	
aoaaaaaA	8		6		1		0		0		0		1		2		3		4		0		0		0	
aaoaaaaA	9		5		1		0		0		0		1		2		2		4		0		1		0	
aaaoaaaA	10		4		1		1		0		0		1		2		2		4		0		1		0	
aaaaoaaA	11		3		1		1		0		0		1		2		2		4		0		1		0	
aaaaaoaA	12		2		1		1		0		0		1		2		3		4		0		1		0	
aaaaaaoA	13		1		1		1		0		0		1		2		4		5		0		1		0	
